dame street	1		irish
lord edward street	1		irish
cork hill	1		irish
37 parliament street	1		irish
27 parliament street	1		irish
30 parliament street	1		irish
33 dame street	1		irish
14 nelson street	1		irish
60 mount street lower	1		irish
14 clare street	1		irish
31 merrion square north	1		irish
1 merrion square north	1		irish
23 wicklow street	1		irish
8 bridge street	1		irish
33 wicklow street	1		irish
sean heuston bridge	1		irish
ror o'more bridge	1		irish
father mathew bridge	1		irish
29 kildare street	1		irish
32 arran quay	1		irish
d'donovan rossa bridge	1		irish
34 ormond quay upper	1		irish
36 ormond quay upper	1		irish
15 wood quay	1		irish
30 ormond quay upper	1		irish
grattan bridge	1		irish
11 wellington quay	1		irish
2 wellington quay	1		irish
11 granby row upper	1		irish
26 parliament street	1		irish
82 dame street	1		irish
72 dame street	1		irish
college park	1		irish
1 leinster street	1		irish
merrion square	1		irish
2 mount street lower	1		irish
haddington road	1		irish
northumberland road	1		irish
7 eccles street	1		operacompany
ringsend road	1		operacompany
stamer street	1		operacompany
hume street	1		operacompany
nelson's pillar	1		operacompany
rutland square	1		operacompany
blessington street	1		operacompany
berkely street	1		operacompany
eccles street	1		operacompany
phibsborough road	1		operacompany
finglas road	1		operacompany
windmill lane	1		operacompany
18 rogerson's quay	1		operacompany
19 rogerson's quay	1		operacompany
lime street	1		operacompany
townsend street	1		operacompany
26 lombard street e.	1		operacompany
164 north strand road	1		operacompany
6 westland row	1		operacompany
49 westland row	1		operacompany
31 westland row	1		operacompany
pearse street	1		operacompany
cumberland street	1		operacompany
153 pearse street	1		operacompany
the coombe	1		operacompany
46 westland row	1		operacompany
1 lincoln place	1		operacompany
11 leinster street	1		operacompany
upper gardiner street	1		operacompany
mountjoy square	1		operacompany
fitzgibbon street	1		operacompany
great charles street	1		operacompany
north circular road	1		operacompany
4 n. strand road	1		operacompany
16 n. strand road	1		operacompany
17 n. strand road	1		operacompany
164 n. strand road	1		operacompany
21 n. strand road	1		operacompany
newcomen bridge	1		operacompany
annesley bridge	1		operacompany
howth road	1		operacompany
malahide road	1		operacompany
11 2 dorset street lower	1		operacompany
clongowes fields	1		operacompany
61 grafton street	1		operacompany
college green	1		operacompany
52 grafton street	1		operacompany
8 ormond quay upper	1		operacompany
crampton court	1		operacompany
sycamore street	1		operacompany
jervis street	1		operacompany
30 essex street east	1		operacompany
29 essex street east	1		operacompany
merchant's arch	1		operacompany
metal bridge	1		operacompany
wellington quay	1		operacompany
